Epoch 111, Loss G: -0.1253,Loss D:  0.4366
Epoch 112, Loss G:  0.0987,Loss D:  0.4565
Epoch 113, Loss G: -0.0377,Loss D:  0.5186
Epoch 114, Loss G: -0.0925,Loss D:  0.3793
Epoch 115, Loss G: -0.2988,Loss D:  0.4417
Epoch 116, Loss G: -0.2852,Loss D:  0.3073
Epoch 117, Loss G: -0.3246,Loss D:  0.1061
Epoch 118, Loss G: -0.2698,Loss D:  0.2634
Epoch 119, Loss G: -0.2677,Loss D:  0.0483
Epoch 120, Loss G: -0.3435,Loss D:  0.0202
Epoch 121, Loss G: -0.1042,Loss D:  0.0827
Epoch 122, Loss G: -0.1878,Loss D: -0.0932
Epoch 123, Loss G: -0.0113,Loss D: -0.2876
Epoch 124, Loss G:  0.0004,Loss D: -0.5468
Epoch 125, Loss G:  0.0183,Loss D: -0.3287
Epoch 126, Loss G: -0.0863,Loss D: -0.1547
Epoch 127, Loss G: -0.1576,Loss D: -0.0376
Epoch 128, Loss G: -0.2093,Loss D: -0.1538
Epoch 129, Loss G: -0.3926,Loss D:  0.0147
Epoch 130, Loss G: -0.2560,Loss D:  0.0624
Epoch 131, Loss G: -0.0051,Loss D: -0.1052
Epoch 132, Loss G: -0.4531,Loss D:  0.0124
Epoch 133, Loss G: -0.6370,Loss D:  0.2157
Epoch 134, Loss G: -0.7173,Loss D:  0.3704
Epoch 135, Loss G: -0.5352,Loss D:  0.3236
Epoch 136, Loss G: -0.7333,Loss D:  0.5208
Epoch 137, Loss G: -0.7599,Loss D:  0.5513
Epoch 138, Loss G: -0.8768,Loss D:  0.4600
Epoch 139, Loss G: -0.8368,Loss D:  0.6348
Epoch 140, Loss G: -0.8748,Loss D:  0.6546
Epoch 141, Loss G: -1.1574,Loss D:  0.5993
Epoch 142, Loss G: -0.9348,Loss D:  0.5264
Epoch 143, Loss G: -0.8203,Loss D:  0.3270
Epoch 144, Loss G: -1.1013,Loss D:  0.2804
Epoch 145, Loss G: -0.9516,Loss D:  0.0328
Epoch 146, Loss G: -0.8079,Loss D:  0.1364
Epoch 147, Loss G: -0.5848,Loss D:  0.0312
Epoch 148, Loss G: -0.5868,Loss D: -0.0537
Epoch 149, Loss G: -0.1441,Loss D: -0.0756
Epoch 150, Loss G: -0.2502,Loss D: -0.1395
Epoch 151, Loss G: -0.0255,Loss D: -0.4334
Epoch 152, Loss G: -0.1178,Loss D: -0.4713
Epoch 153, Loss G:  0.0386,Loss D: -0.5981
Epoch 154, Loss G: -0.0065,Loss D: -0.1098
Epoch 155, Loss G: -0.1085,Loss D: -0.4170
Epoch 156, Loss G: -0.2412,Loss D: -0.1985
Epoch 157, Loss G: -0.4602,Loss D:  0.0939
Epoch 158, Loss G: -0.7614,Loss D:  0.1995
Epoch 159, Loss G: -0.8593,Loss D:  0.2067
Epoch 160, Loss G: -1.0238,Loss D:  0.4075
Epoch 161, Loss G: -1.1710,Loss D:  0.2077
Epoch 162, Loss G: -1.2430,Loss D:  0.6118
Epoch 163, Loss G: -1.3708,Loss D:  0.6659
Epoch 164, Loss G: -1.6212,Loss D:  0.4556
Epoch 165, Loss G: -1.6014,Loss D:  0.3081
Epoch 166, Loss G: -1.7445,Loss D:  0.3274
Epoch 167, Loss G: -1.5844,Loss D:  0.1261
Epoch 168, Loss G: -1.3866,Loss D:  0.2548
Epoch 169, Loss G: -1.2979,Loss D: -0.2197
Epoch 170, Loss G: -1.2015,Loss D: -0.0893
Epoch 171, Loss G: -1.0038,Loss D: -0.4909
Epoch 172, Loss G: -0.8678,Loss D: -0.3638
Epoch 173, Loss G: -0.7561,Loss D: -0.9711
Epoch 174, Loss G: -0.7640,Loss D: -0.5230
Epoch 175, Loss G: -0.7973,Loss D: -0.3714
Epoch 176, Loss G: -0.7111,Loss D: -0.3240
Epoch 177, Loss G: -0.9501,Loss D: -0.0374
Epoch 178, Loss G: -1.1102,Loss D:  0.1304
