Epoch 111, Loss G: -1.2809,Loss D:  0.3763
Epoch 112, Loss G: -1.2203,Loss D:  0.6833
Epoch 113, Loss G: -1.1821,Loss D:  0.2039
Epoch 114, Loss G: -1.1265,Loss D:  0.2173
Epoch 115, Loss G: -0.9234,Loss D:  0.2282
Epoch 116, Loss G: -0.8588,Loss D:  0.5395
Epoch 117, Loss G: -0.8970,Loss D:  0.2136
Epoch 118, Loss G: -0.7228,Loss D:  0.2342
Epoch 119, Loss G: -0.4245,Loss D:  0.0330
Epoch 120, Loss G: -0.4388,Loss D: -0.2929
Epoch 121, Loss G: -0.5106,Loss D: -0.1386
Epoch 122, Loss G: -0.4187,Loss D: -0.0953
Epoch 123, Loss G: -0.3856,Loss D: -0.1392
Epoch 124, Loss G: -0.2674,Loss D: -0.1705
Epoch 125, Loss G: -0.3203,Loss D: -0.0869
Epoch 126, Loss G: -0.1633,Loss D: -0.0739
Epoch 127, Loss G: -0.1781,Loss D: -0.0673
Epoch 128, Loss G: -0.3314,Loss D: -0.0107
Epoch 129, Loss G: -0.5577,Loss D:  0.4059
Epoch 130, Loss G: -0.5596,Loss D:  0.0588
Epoch 131, Loss G: -0.3067,Loss D: -0.0422
Epoch 132, Loss G: -0.5381,Loss D: -0.0188
Epoch 133, Loss G: -0.7667,Loss D:  0.4176
Epoch 134, Loss G: -0.7000,Loss D:  0.4749
Epoch 135, Loss G: -0.8348,Loss D:  0.4074
Epoch 136, Loss G: -0.8204,Loss D:  0.4166
Epoch 137, Loss G: -0.6474,Loss D:  0.5633
Epoch 138, Loss G: -1.1810,Loss D:  0.3169
Epoch 139, Loss G: -0.7474,Loss D:  0.3550
Epoch 140, Loss G: -0.8322,Loss D:  0.4239
Epoch 141, Loss G: -0.7355,Loss D: -0.1872
Epoch 142, Loss G: -0.8218,Loss D:  0.0814
Epoch 143, Loss G: -0.7713,Loss D: -0.0368
Epoch 144, Loss G: -1.0308,Loss D: -0.2621
Epoch 145, Loss G: -0.7980,Loss D: -0.0942
Epoch 146, Loss G: -0.9505,Loss D:  0.1768
Epoch 147, Loss G: -0.7788,Loss D: -0.1417
Epoch 148, Loss G: -1.0244,Loss D: -0.2124
Epoch 149, Loss G: -0.8337,Loss D: -0.0442
