Epoch 111, Loss G: -1.9565,Loss D:  0.3745
Epoch 112, Loss G: -1.4220,Loss D: -0.2675
Epoch 113, Loss G: -1.1328,Loss D: -0.5158
Epoch 114, Loss G: -0.8979,Loss D: -0.8307
Epoch 115, Loss G: -0.4682,Loss D: -1.3018
Epoch 116, Loss G: -0.2506,Loss D: -1.2912
Epoch 117, Loss G: -0.0782,Loss D: -1.4988
Epoch 118, Loss G: -0.2097,Loss D: -1.3951
Epoch 119, Loss G: -0.8624,Loss D: -0.8090
Epoch 120, Loss G: -1.1534,Loss D: -0.2948
Epoch 121, Loss G: -1.6487,Loss D:  0.4352
Epoch 122, Loss G: -2.2216,Loss D:  0.6155
Epoch 123, Loss G: -2.2797,Loss D:  0.8102
Epoch 124, Loss G: -2.1029,Loss D:  0.7139
Epoch 125, Loss G: -2.0962,Loss D:  0.7714
Epoch 126, Loss G: -1.7928,Loss D: -0.1635
Epoch 127, Loss G: -1.6624,Loss D: -0.2532
Epoch 128, Loss G: -1.4317,Loss D: -0.2997
Epoch 129, Loss G: -1.7880,Loss D: -0.4787
Epoch 130, Loss G: -1.7083,Loss D: -0.3051
Epoch 131, Loss G: -1.6839,Loss D: -0.0654
Epoch 132, Loss G: -1.9492,Loss D:  0.1400
Epoch 133, Loss G: -2.0678,Loss D:  0.3558
Epoch 134, Loss G: -2.1424,Loss D:  0.3898
Epoch 135, Loss G: -1.9694,Loss D:  0.0785
Epoch 136, Loss G: -2.0924,Loss D:  0.0158
Epoch 137, Loss G: -1.8747,Loss D:  0.2061
Epoch 138, Loss G: -2.2849,Loss D: -0.0422
Epoch 139, Loss G: -2.3588,Loss D:  0.0205
Epoch 140, Loss G: -2.2695,Loss D:  0.3517
Epoch 141, Loss G: -2.5634,Loss D:  0.3536
Epoch 142, Loss G: -2.3619,Loss D:  0.1456
Epoch 143, Loss G: -2.1519,Loss D: -0.1939
Epoch 144, Loss G: -1.9442,Loss D: -0.0720
Epoch 145, Loss G: -1.4791,Loss D: -0.1269
Epoch 146, Loss G: -1.4849,Loss D: -0.0988
Epoch 147, Loss G: -1.4562,Loss D: -0.3298
Epoch 148, Loss G: -1.2740,Loss D: -0.1857
Epoch 149, Loss G: -1.2545,Loss D: -0.5029
Epoch 150, Loss G: -1.1592,Loss D: -0.3389
Epoch 151, Loss G: -1.4713,Loss D: -0.1278
Epoch 152, Loss G: -1.6090,Loss D:  0.0921
Epoch 153, Loss G: -1.7266,Loss D:  0.1655
Epoch 154, Loss G: -1.7782,Loss D: -0.0068
Epoch 155, Loss G: -1.9254,Loss D:  0.1238
Epoch 156, Loss G: -1.8445,Loss D: -0.0506
Epoch 157, Loss G: -2.1065,Loss D:  0.0618
Epoch 158, Loss G: -2.0132,Loss D: -0.1112
Epoch 159, Loss G: -1.7743,Loss D:  0.0451
Epoch 160, Loss G: -1.8308,Loss D: -0.1830
Epoch 161, Loss G: -1.8366,Loss D: -0.4963
Epoch 162, Loss G: -1.9839,Loss D: -0.1035
Epoch 163, Loss G: -2.0749,Loss D: -0.0833
Epoch 164, Loss G: -2.5097,Loss D:  0.0710
Epoch 165, Loss G: -2.8472,Loss D:  0.3523
Epoch 166, Loss G: -2.9940,Loss D:  0.4459
Epoch 167, Loss G: -3.1411,Loss D:  0.4676
Epoch 168, Loss G: -3.2739,Loss D:  0.2291
Epoch 169, Loss G: -3.6527,Loss D:  0.5413
Epoch 170, Loss G: -3.5796,Loss D:  0.4775
Epoch 171, Loss G: -3.4137,Loss D:  0.4780
Epoch 172, Loss G: -3.4498,Loss D:  0.2870
Epoch 173, Loss G: -3.1464,Loss D: -0.0469
Epoch 174, Loss G: -3.0163,Loss D: -0.2401
Epoch 175, Loss G: -3.1353,Loss D: -0.1403
Epoch 176, Loss G: -2.9484,Loss D: -0.5935
Epoch 177, Loss G: -3.1304,Loss D: -0.3703
Epoch 178, Loss G: -2.9359,Loss D: -0.1347
Epoch 179, Loss G: -3.5370,Loss D: -0.1906
Epoch 180, Loss G: -3.5501,Loss D: -0.0464
Epoch 181, Loss G: -3.5052,Loss D:  0.1626
Epoch 182, Loss G: -3.4604,Loss D:  0.7414
Epoch 183, Loss G: -3.7735,Loss D:  0.4751
Epoch 184, Loss G: -4.1489,Loss D:  0.7111
Epoch 185, Loss G: -3.8754,Loss D:  0.0973
Epoch 186, Loss G: -3.8905,Loss D:  0.2822
Epoch 187, Loss G: -4.0312,Loss D:  0.2903
Epoch 188, Loss G: -3.7517,Loss D: -0.3698
Epoch 189, Loss G: -3.6277,Loss D: -0.4512
Epoch 190, Loss G: -3.4031,Loss D: -0.2361
Epoch 191, Loss G: -3.0585,Loss D: -0.7148
Epoch 192, Loss G: -3.1217,Loss D: -0.4746
Epoch 193, Loss G: -2.8865,Loss D: -0.3813
Epoch 194, Loss G: -2.6944,Loss D: -0.2529
Epoch 195, Loss G: -2.5376,Loss D: -0.4113
Epoch 196, Loss G: -2.5141,Loss D: -0.4729
Epoch 197, Loss G: -2.3247,Loss D: -0.2282
Epoch 198, Loss G: -2.5414,Loss D: -0.1783
Epoch 199, Loss G: -2.5221,Loss D: -0.0518
Epoch 200, Loss G: -3.2073,Loss D:  0.0426
Epoch 201, Loss G: -2.7772,Loss D:  0.7305
Epoch 202, Loss G: -2.6359,Loss D:  0.2069
Epoch 203, Loss G: -3.1704,Loss D:  0.2788
Epoch 204, Loss G: -2.2876,Loss D:  0.3145
Epoch 205, Loss G: -2.4417,Loss D: -0.0311
Epoch 206, Loss G: -2.5572,Loss D: -0.1810
Epoch 207, Loss G: -2.0693,Loss D:  0.0876
Epoch 208, Loss G: -1.6149,Loss D:  0.1266
Epoch 209, Loss G: -1.9918,Loss D: -0.3119
Epoch 210, Loss G: -1.3795,Loss D: -0.3148
Epoch 211, Loss G: -1.1812,Loss D: -0.3745
Epoch 212, Loss G: -0.8623,Loss D: -0.5088
Epoch 213, Loss G: -0.8159,Loss D: -0.1673
Epoch 214, Loss G: -0.5635,Loss D: -0.1447
Epoch 215, Loss G: -1.1380,Loss D: -0.4592
Epoch 216, Loss G: -1.1163,Loss D: -0.3004
Epoch 217, Loss G: -1.0906,Loss D: -0.2175
Epoch 218, Loss G: -1.2664,Loss D:  0.5989
Epoch 219, Loss G: -1.2234,Loss D:  0.2207
Epoch 220, Loss G: -1.3425,Loss D:  0.3013
Epoch 221, Loss G: -1.6696,Loss D:  0.1521
Epoch 222, Loss G: -1.5006,Loss D: -0.2456
Epoch 223, Loss G: -1.4372,Loss D: -0.3708
