Epoch 1, Loss G:  1.3744,Loss D:  0.0235
Epoch 2, Loss G:  1.4176,Loss D: -0.0740
Epoch 3, Loss G:  1.3946,Loss D: -0.2013
Epoch 4, Loss G:  1.3375,Loss D: -0.2557
Epoch 5, Loss G:  1.3723,Loss D: -0.3849
Epoch 6, Loss G:  1.2444,Loss D: -0.4986
Epoch 7, Loss G:  1.2598,Loss D: -0.5431
Epoch 8, Loss G:  1.0370,Loss D: -0.5765
Epoch 9, Loss G:  1.0662,Loss D: -0.6286
Epoch 10, Loss G:  0.7527,Loss D: -0.6319
Epoch 11, Loss G:  0.6960,Loss D: -0.6895
Epoch 12, Loss G:  0.4275,Loss D: -0.6408
Epoch 13, Loss G:  0.2119,Loss D: -0.6681
Epoch 14, Loss G: -0.0676,Loss D: -0.5183
Epoch 15, Loss G: -0.4377,Loss D: -0.5851
Epoch 16, Loss G: -0.7687,Loss D: -0.0516
Epoch 17, Loss G: -1.2754,Loss D:  0.0139
Epoch 18, Loss G: -1.3967,Loss D:  0.1557
Epoch 19, Loss G: -1.8334,Loss D:  0.1480
Epoch 20, Loss G: -2.0235,Loss D:  0.2303
Epoch 21, Loss G: -2.4002,Loss D:  0.4970
Epoch 22, Loss G: -2.4706,Loss D:  0.3716
Epoch 23, Loss G: -2.5352,Loss D:  0.5393
Epoch 24, Loss G: -2.6254,Loss D:  0.3515
Epoch 25, Loss G: -2.7394,Loss D:  0.3380
Epoch 26, Loss G: -2.8171,Loss D:  0.3732
Epoch 27, Loss G: -2.6516,Loss D:  0.5171
Epoch 28, Loss G: -2.6847,Loss D:  0.5664
Epoch 29, Loss G: -2.5829,Loss D:  0.4361
Epoch 30, Loss G: -2.6173,Loss D:  0.2380
Epoch 31, Loss G: -2.5784,Loss D:  0.0656
Epoch 32, Loss G: -2.3977,Loss D:  0.4208
Epoch 33, Loss G: -2.1547,Loss D:  0.5031
Epoch 34, Loss G: -2.0522,Loss D:  0.5654
Epoch 35, Loss G: -2.0735,Loss D:  0.6261
Epoch 36, Loss G: -1.7823,Loss D:  0.3728
Epoch 37, Loss G: -1.6252,Loss D:  0.2397
Epoch 38, Loss G: -1.7803,Loss D:  0.5684
Epoch 39, Loss G: -1.5285,Loss D:  0.7654
Epoch 40, Loss G: -1.3733,Loss D:  0.6648
Epoch 41, Loss G: -1.3804,Loss D:  0.6566
Epoch 42, Loss G: -1.0421,Loss D:  0.7404
Epoch 43, Loss G: -1.0440,Loss D:  0.6003
Epoch 44, Loss G: -0.8223,Loss D:  0.2947
Epoch 45, Loss G: -0.6389,Loss D:  0.4370
Epoch 46, Loss G: -0.1859,Loss D:  0.1513
Epoch 47, Loss G: -0.1511,Loss D:  0.0589
Epoch 48, Loss G:  0.3241,Loss D: -0.0032
Epoch 49, Loss G:  0.3834,Loss D: -0.1539
Epoch 50, Loss G:  0.5995,Loss D: -0.1316
Epoch 51, Loss G:  0.8673,Loss D: -0.2168
Epoch 52, Loss G:  1.0339,Loss D: -0.1096
Epoch 53, Loss G:  0.7643,Loss D:  0.1373
Epoch 54, Loss G:  0.8054,Loss D:  0.1818
Epoch 55, Loss G:  0.8223,Loss D:  0.3608
Epoch 56, Loss G:  0.7607,Loss D:  0.4393
Epoch 57, Loss G:  0.6528,Loss D:  0.3144
Epoch 58, Loss G:  0.3680,Loss D:  0.6465
Epoch 59, Loss G:  0.5038,Loss D:  0.6410
Epoch 60, Loss G:  0.4362,Loss D:  0.6795
Epoch 61, Loss G:  0.2066,Loss D:  0.5991
Epoch 62, Loss G:  0.2866,Loss D:  0.5802
Epoch 63, Loss G:  0.3267,Loss D:  0.5804
Epoch 64, Loss G:  0.1939,Loss D:  0.3565
Epoch 65, Loss G:  0.3070,Loss D:  0.2702
Epoch 66, Loss G:  0.3742,Loss D:  0.2442
Epoch 67, Loss G:  0.4022,Loss D:  0.1646
Epoch 68, Loss G:  0.4795,Loss D:  0.0530
Epoch 69, Loss G:  0.5012,Loss D: -0.1556
Epoch 70, Loss G:  0.6467,Loss D: -0.3399
Epoch 71, Loss G:  0.6401,Loss D: -0.1501
Epoch 72, Loss G:  0.5858,Loss D: -0.3457
Epoch 73, Loss G:  0.6029,Loss D: -0.5758
Epoch 74, Loss G:  0.5980,Loss D: -0.4750
Epoch 75, Loss G:  0.3207,Loss D: -0.4924
Epoch 76, Loss G:  0.1542,Loss D: -0.6662
Epoch 77, Loss G: -0.0638,Loss D: -0.3161
Epoch 78, Loss G: -0.1678,Loss D: -0.2896
Epoch 79, Loss G: -0.3654,Loss D: -0.3293
Epoch 80, Loss G: -0.7488,Loss D: -0.0948
Epoch 81, Loss G: -0.8943,Loss D:  0.0241
Epoch 82, Loss G: -1.1497,Loss D:  0.2664
Epoch 83, Loss G: -1.2156,Loss D:  0.1799
Epoch 84, Loss G: -1.2487,Loss D:  0.4165
Epoch 85, Loss G: -1.5967,Loss D:  0.3435
Epoch 86, Loss G: -1.4498,Loss D:  0.5704
Epoch 87, Loss G: -1.7136,Loss D:  0.4826
Epoch 88, Loss G: -1.5688,Loss D:  0.4178
Epoch 89, Loss G: -1.4259,Loss D:  0.5491
Epoch 90, Loss G: -1.4124,Loss D:  0.5712
Epoch 91, Loss G: -1.1753,Loss D:  0.1456
Epoch 92, Loss G: -0.5765,Loss D:  0.0257
Epoch 93, Loss G: -0.4067,Loss D: -0.1230
Epoch 94, Loss G: -0.0953,Loss D: -0.4407
Epoch 95, Loss G:  0.2342,Loss D: -0.9470
Epoch 96, Loss G:  0.3631,Loss D: -1.0019
Epoch 97, Loss G:  0.6487,Loss D: -0.7291
Epoch 98, Loss G:  0.7220,Loss D: -0.9846
Epoch 99, Loss G:  1.0550,Loss D: -1.0250
Epoch 100, Loss G:  0.6925,Loss D: -1.1751
Epoch 101, Loss G:  0.8358,Loss D: -1.0246
Epoch 102, Loss G:  0.5426,Loss D: -0.5129
Epoch 103, Loss G:  0.6774,Loss D: -0.5766
Epoch 104, Loss G:  0.2478,Loss D: -0.0619
Epoch 105, Loss G: -0.0417,Loss D:  0.1064
Epoch 106, Loss G: -0.0295,Loss D:  0.4492
Epoch 107, Loss G: -0.0962,Loss D:  0.1537
Epoch 108, Loss G: -0.3115,Loss D:  0.5696
Epoch 109, Loss G: -0.3220,Loss D:  0.1416
Epoch 110, Loss G: -0.3881,Loss D: -0.0329
Epoch 111, Loss G: -0.1507,Loss D: -0.0115
Epoch 112, Loss G: -0.0474,Loss D: -0.3877
Epoch 113, Loss G:  0.1048,Loss D: -0.3830
Epoch 114, Loss G:  0.0847,Loss D: -0.6368
Epoch 115, Loss G:  0.1976,Loss D: -0.6282
Epoch 116, Loss G:  0.5215,Loss D: -0.9621
Epoch 117, Loss G:  0.4340,Loss D: -0.9686
Epoch 118, Loss G:  0.3350,Loss D: -0.8539
Epoch 119, Loss G:  0.0387,Loss D: -0.8524
Epoch 120, Loss G: -0.2417,Loss D: -0.6486
Epoch 121, Loss G: -0.4230,Loss D: -0.3281
Epoch 122, Loss G: -0.7588,Loss D:  0.0160
Epoch 123, Loss G: -1.2214,Loss D:  0.1292
Epoch 124, Loss G: -1.4784,Loss D:  0.1821
Epoch 125, Loss G: -1.3324,Loss D:  0.1050
Epoch 126, Loss G: -1.4919,Loss D: -0.0163
Epoch 127, Loss G: -1.2702,Loss D: -0.0423
Epoch 128, Loss G: -0.8471,Loss D:  0.0275
Epoch 129, Loss G: -1.2026,Loss D: -0.1285
Epoch 130, Loss G: -1.1782,Loss D: -0.3405
Epoch 131, Loss G: -1.2813,Loss D: -0.1700
Epoch 132, Loss G: -1.5365,Loss D:  0.2868
Epoch 133, Loss G: -1.6548,Loss D:  0.2358
Epoch 134, Loss G: -1.8639,Loss D:  0.5568
Epoch 135, Loss G: -1.8648,Loss D:  0.2114
Epoch 136, Loss G: -1.7441,Loss D:  0.3048
Epoch 137, Loss G: -1.6963,Loss D: -0.5180
Epoch 138, Loss G: -1.4114,Loss D: -0.5883
Epoch 139, Loss G: -1.3879,Loss D: -0.2557
Epoch 140, Loss G: -1.3812,Loss D: -0.2008
Epoch 141, Loss G: -1.7257,Loss D: -0.0721
Epoch 142, Loss G: -1.8230,Loss D:  0.0808
Epoch 143, Loss G: -1.6918,Loss D:  0.0271
Epoch 144, Loss G: -1.8004,Loss D:  0.0043
Epoch 145, Loss G: -1.9603,Loss D: -0.2080
Epoch 146, Loss G: -1.9475,Loss D: -0.3227
Epoch 147, Loss G: -1.9331,Loss D: -0.0576
Epoch 148, Loss G: -1.9911,Loss D: -0.0952
Epoch 149, Loss G: -1.9915,Loss D: -0.1989
Epoch 150, Loss G: -2.1426,Loss D:  0.1737
Epoch 151, Loss G: -2.0483,Loss D:  0.0517
Epoch 152, Loss G: -2.2061,Loss D:  0.2125
Epoch 153, Loss G: -1.7349,Loss D:  0.0908
Epoch 154, Loss G: -2.0609,Loss D: -0.0866
Epoch 155, Loss G: -1.9765,Loss D:  0.0292
Epoch 156, Loss G: -2.0452,Loss D:  0.3055
Epoch 157, Loss G: -2.0711,Loss D:  0.3597
