Epoch 111, Loss G: -1.9289,Loss D:  0.2177
Epoch 112, Loss G: -1.9705,Loss D: -0.0024
Epoch 113, Loss G: -1.8054,Loss D:  0.1057
Epoch 114, Loss G: -1.9029,Loss D: -0.1902
Epoch 115, Loss G: -1.5966,Loss D: -0.3354
Epoch 116, Loss G: -1.0806,Loss D: -0.8545
Epoch 117, Loss G: -1.3840,Loss D: -0.6823
Epoch 118, Loss G: -1.3100,Loss D: -0.4103
Epoch 119, Loss G: -1.3976,Loss D: -0.2952
Epoch 120, Loss G: -1.6922,Loss D:  0.1174
Epoch 121, Loss G: -2.3482,Loss D: -0.1275
Epoch 122, Loss G: -2.7202,Loss D:  0.2572
Epoch 123, Loss G: -2.9003,Loss D:  0.0380
Epoch 124, Loss G: -2.7447,Loss D:  0.3294
Epoch 125, Loss G: -2.7630,Loss D: -0.0810
Epoch 126, Loss G: -2.7893,Loss D: -0.0133
Epoch 127, Loss G: -2.6614,Loss D: -0.4002
Epoch 128, Loss G: -2.8913,Loss D: -0.2066
Epoch 129, Loss G: -3.0922,Loss D: -0.2861
Epoch 130, Loss G: -3.2249,Loss D: -0.0412
Epoch 131, Loss G: -3.6148,Loss D:  0.2529
Epoch 132, Loss G: -3.2664,Loss D: -0.0460
Epoch 133, Loss G: -3.4519,Loss D:  0.4258
Epoch 134, Loss G: -3.5697,Loss D:  0.2335
Epoch 135, Loss G: -3.6801,Loss D:  0.0230
Epoch 136, Loss G: -3.8055,Loss D: -0.1679
Epoch 137, Loss G: -3.9232,Loss D:  0.0903
Epoch 138, Loss G: -3.8214,Loss D:  0.1469
Epoch 139, Loss G: -3.8068,Loss D:  0.0071
Epoch 140, Loss G: -3.5637,Loss D:  0.0292
Epoch 141, Loss G: -3.6100,Loss D: -0.3354
Epoch 142, Loss G: -3.7377,Loss D: -0.0931
Epoch 143, Loss G: -3.5793,Loss D: -0.1931
Epoch 144, Loss G: -3.5943,Loss D:  0.0096
Epoch 145, Loss G: -3.4529,Loss D:  0.2816
Epoch 146, Loss G: -3.5695,Loss D:  0.2210
Epoch 147, Loss G: -3.8371,Loss D: -0.0523
Epoch 148, Loss G: -3.9613,Loss D:  0.2383
Epoch 149, Loss G: -4.1339,Loss D:  0.3138
Epoch 150, Loss G: -4.0042,Loss D:  0.3452
Epoch 151, Loss G: -4.0459,Loss D:  0.3817
Epoch 152, Loss G: -4.0241,Loss D:  0.6381
Epoch 153, Loss G: -4.2332,Loss D:  0.2802
Epoch 154, Loss G: -4.1954,Loss D:  0.1957
Epoch 155, Loss G: -4.4430,Loss D:  0.2584
Epoch 156, Loss G: -4.1532,Loss D:  0.6638
Epoch 157, Loss G: -4.1388,Loss D:  0.3089
Epoch 158, Loss G: -4.2703,Loss D:  0.1550
Epoch 159, Loss G: -4.2784,Loss D:  0.4397
Epoch 160, Loss G: -4.2259,Loss D:  0.3194
Epoch 161, Loss G: -4.2223,Loss D:  0.2630
Epoch 162, Loss G: -3.8629,Loss D: -0.1693
Epoch 163, Loss G: -3.6580,Loss D:  0.3087
Epoch 164, Loss G: -3.5611,Loss D: -0.1554
Epoch 165, Loss G: -3.4266,Loss D:  0.1546
Epoch 166, Loss G: -3.0389,Loss D: -0.2700
Epoch 167, Loss G: -3.3292,Loss D: -0.1756
Epoch 168, Loss G: -3.1397,Loss D: -0.0327
Epoch 169, Loss G: -3.5077,Loss D: -0.0386
Epoch 170, Loss G: -3.0112,Loss D:  0.3239
Epoch 171, Loss G: -3.3638,Loss D:  0.2106
Epoch 172, Loss G: -3.0795,Loss D:  0.2777
Epoch 173, Loss G: -3.2505,Loss D:  0.3584
Epoch 174, Loss G: -3.1104,Loss D:  0.1461
Epoch 175, Loss G: -3.1267,Loss D:  0.2776
Epoch 176, Loss G: -3.0418,Loss D:  0.2599
Epoch 177, Loss G: -3.1393,Loss D:  0.1478
Epoch 178, Loss G: -3.1118,Loss D:  0.3278
Epoch 179, Loss G: -2.8625,Loss D:  0.3142
Epoch 180, Loss G: -2.6689,Loss D:  0.2144
Epoch 181, Loss G: -2.7685,Loss D: -0.0448
Epoch 182, Loss G: -2.5651,Loss D: -0.0873
Epoch 183, Loss G: -2.7877,Loss D:  0.1432
Epoch 184, Loss G: -2.3853,Loss D: -0.0181
Epoch 185, Loss G: -2.3358,Loss D: -0.2327
Epoch 186, Loss G: -2.3798,Loss D: -0.0933
Epoch 187, Loss G: -2.3367,Loss D: -0.0590
Epoch 188, Loss G: -2.2890,Loss D: -0.2871
Epoch 189, Loss G: -2.4742,Loss D: -0.3121
Epoch 190, Loss G: -2.5765,Loss D: -0.0086
Epoch 191, Loss G: -2.8810,Loss D:  0.1228
Epoch 192, Loss G: -2.9392,Loss D:  0.4336
